# IntSight report packet log for interface s2-eth3.
[ 346=> 338: 5] (1 => 2, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 347=> 339: 5] (1 => 2, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0081=>0081(000) bits=00959688=>00959688
[ 348=> 340: 5] (1 => 2, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0082=>0082(000) bits=00971536=>00971536
[ 349=> 341: 5] (1 => 2, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 350=> 342: 5] (1 => 2, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0084=>0084(000) bits=00995232=>00995232
[ 351=> 343: 5] (1 => 2, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0081=>0081(000) bits=00959688=>00959688
[ 352=> 344: 5] (1 => 2, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0084=>0084(000) bits=00995232=>00995232
[ 353=> 345: 5] (1 => 2, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0084=>0084(000) bits=00995232=>00995232
[ 354=> 346: 5] (1 => 2, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0082=>0082(000) bits=00971536=>00971536
[ 355=> 347: 5] (1 => 2, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0084=>0084(000) bits=00995232=>00995232
[ 356=> 348: 5] (1 => 2, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0082=>0082(000) bits=00971536=>00971536
[ 357=> 349: 5] (1 => 2, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 358=> 350: 5] (1 => 2, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0081=>0081(000) bits=00959688=>00959688
[ 359=> 351: 5] (1 => 2, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 360=> 352: 5] (1 => 2, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0082=>0082(000) bits=00971536=>00971536
[ 361=> 353: 5] (1 => 2, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 362=> 354: 5] (1 => 2, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0085=>0085(000) bits=01007080=>01007080
[ 363=> 355: 5] (1 => 2, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0083=>0083(000) bits=00983384=>00983384
[ 364=> 356: 5] (1 => 2, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0084=>0084(000) bits=00995232=>00995232
[ 365=> 357: 5] (1 => 2, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0084=>0084(000) bits=00995232=>00995232
[ 366=> 358: 5] (1 => 2, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0082=>0082(000) bits=00971536=>00971536
[ 367=> 359: 5] (1 => 2, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0084=>0084(000) bits=00995232=>00995232
